record_id,location_id,event_date,category_code,actor_id,base_value,adjustment,total_value,state
REC-1001,LOC-201,2026-04-03,CAT-02,USR-22,69507.75,19462.17,88969.92,CONFIRMED
REC-1002,LOC-102,2026-03-24,CAT-07,USR-11,29592.35,8285.86,37878.21,CONFIRMED
REC-1003,LOC-202,2026-03-04,CAT-03,USR-22,94834.38,26553.63,121388.01,CONFIRMED
REC-1004,LOC-101,2026-03-20,CAT-06,USR-11,122138.71,34198.84,156337.55,CONFIRMED
REC-1005,LOC-202,2026-03-05,CAT-07,USR-13,76539.30,21431.00,97970.30,CONFIRMED
REC-1006,LOC-101,2026-04-08,CAT-01,USR-11,26140.07,7319.22,33459.29,CONFIRMED
REC-1007,LOC-101,2026-03-06,CAT-07,USR-13,124098.81,34747.67,158846.48,CONFIRMED
REC-1008,LOC-103,2026-03-18,CAT-03,USR-22,58997.36,16519.26,75516.62,CONFIRMED
REC-1009,LOC-201,2026-03-31,CAT-02,USR-12,87265.08,24434.22,111699.30,CONFIRMED
REC-1010,LOC-202,2026-03-01,CAT-07,USR-11,123966.44,34710.60,158677.04,CONFIRMED
REC-1011,LOC-102,2026-03-17,CAT-05,USR-11,94685.35,26511.90,121197.25,CONFIRMED
REC-1012,LOC-101,2026-03-16,CAT-04,USR-21,106488.44,29816.76,136305.20,CONFIRMED
REC-1013,LOC-103,2026-03-27,CAT-04,USR-21,45585.55,12763.95,58349.50,CONFIRMED
REC-1014,LOC-103,2026-03-26,CAT-07,USR-21,43556.60,12195.85,55752.45,CONFIRMED
REC-1015,LOC-103,2026-04-02,CAT-01,USR-13,32105.73,8989.60,41095.33,CONFIRMED
REC-1016,LOC-202,2026-03-06,CAT-04,USR-12,42569.60,11919.49,54489.09,CONFIRMED
REC-1017,LOC-201,2026-04-03,CAT-02,USR-22,118886.32,33288.17,152174.49,CONFIRMED
REC-1018,LOC-103,2026-03-04,CAT-04,USR-12,62226.81,17423.51,79650.32,CONFIRMED
REC-1019,LOC-202,2026-04-05,CAT-04,USR-22,44603.40,12488.95,57092.35,VOIDED
REC-1020,LOC-102,2026-03-16,CAT-05,USR-22,140954.12,39467.15,180421.27,CONFIRMED
REC-1021,LOC-103,2026-03-27,CAT-05,USR-11,75179.25,21050.19,96229.44,CONFIRMED
REC-1022,LOC-103,2026-03-01,CAT-01,USR-12,89175.40,24969.11,114144.51,CONFIRMED
REC-1023,LOC-103,2026-03-22,CAT-02,USR-13,90587.45,25364.49,115951.94,CONFIRMED
REC-1024,LOC-202,2026-03-25,CAT-06,USR-21,13350.02,3738.01,17088.03,CONFIRMED
REC-1025,LOC-202,2026-04-03,CAT-02,USR-22,99632.56,27897.12,127529.68,CONFIRMED
REC-1026,LOC-103,2026-03-23,CAT-07,USR-13,10124.10,2834.75,12958.85,CONFIRMED
REC-1027,LOC-102,2026-03-14,CAT-06,USR-13,61921.12,17337.91,79259.03,CONFIRMED
REC-1028,LOC-103,2026-03-25,CAT-08,USR-12,138408.77,38754.46,177163.23,CONFIRMED
REC-1029,LOC-103,2026-03-31,CAT-04,USR-22,129260.02,36192.81,165452.83,CONFIRMED
REC-1030,LOC-101,2026-03-19,CAT-08,USR-13,7097.03,1987.17,9084.20,CONFIRMED
REC-1031,LOC-202,2026-03-13,CAT-07,USR-11,105085.83,29424.03,134509.86,CONFIRMED
REC-1032,LOC-101,2026-03-19,CAT-03,USR-21,82218.70,23021.24,105239.94,CONFIRMED
REC-1033,LOC-101,2026-03-04,CAT-01,USR-21,131134.07,36717.54,167851.61,CONFIRMED
REC-1034,LOC-101,2026-03-22,CAT-01,USR-22,66359.37,18580.62,84939.99,CONFIRMED
REC-1035,LOC-202,2026-04-10,CAT-07,USR-22,27103.42,7588.96,34692.38,CONFIRMED
REC-1036,LOC-202,2026-03-25,CAT-07,USR-22,78213.46,21899.77,100113.23,CONFIRMED
REC-1037,LOC-102,2026-04-07,CAT-03,USR-12,64442.04,18043.77,82485.81,CONFIRMED
REC-1038,LOC-103,2026-03-16,CAT-08,USR-21,64167.57,17966.92,82134.49,CONFIRMED
REC-1039,LOC-201,2026-04-03,CAT-03,USR-21,85322.45,23890.29,109212.74,CONFIRMED
REC-1040,LOC-201,2026-03-14,CAT-03,USR-13,34369.29,9623.40,43992.69,CONFIRMED
REC-1041,LOC-102,2026-04-08,CAT-04,USR-13,144143.54,40360.19,184503.73,CONFIRMED
