entry_id,record_ref,location_id,recorded_on,value,label
ENT/2026/4001,REC-1001,LOC-201,2026-04-03,88969.92,Entry for CAT-02
ENT/2026/4002,REC-1002,LOC-102,2026-03-24,37878.21,Entry for CAT-07
ENT/2026/4003,REC-1003,LOC-202,2026-03-04,94834.38,Entry for CAT-03
ENT/2026/4004,REC-1004,LOC-101,2026-03-20,156337.55,Entry for CAT-06
ENT/2026/4005,REC-1005,LOC-202,2026-03-05,97970.30,Entry for CAT-07
ENT/2026/4006,REC-1006,LOC-101,2026-04-08,33459.29,Entry for CAT-01
ENT/2026/4007,REC-1007,LOC-101,2026-03-06,158846.48,Entry for CAT-07
ENT/2026/4008,REC-1008,LOC-103,2026-03-18,75516.62,Entry for CAT-03
ENT/2026/4009,REC-1009,LOC-201,2026-04-02,111699.30,Entry for CAT-02
ENT/2026/4010,REC-1010,LOC-202,2026-03-01,158677.04,Entry for CAT-07
ENT/2026/4011,REC-1011,LOC-102,2026-03-17,121197.25,Entry for CAT-05
ENT/2026/4012,REC-1012,LOC-101,2026-03-16,136305.20,Entry for CAT-04
ENT/2026/4013,REC-1013,LOC-103,2026-03-27,58349.50,Entry for CAT-04
ENT/2026/4014,REC-1014,LOC-103,2026-03-26,55752.45,Entry for CAT-07
ENT/2026/4016,REC-1016,LOC-202,2026-03-06,54489.09,Entry for CAT-04
ENT/2026/4017,REC-1017,LOC-201,2026-04-03,152174.49,Entry for CAT-02
ENT/2026/4018,REC-1018,LOC-103,2026-03-04,79650.32,Entry for CAT-04
ENT/2026/4019,REC-1019,LOC-202,2026-04-05,57092.35,Entry for CAT-04
ENT/2026/4020,REC-1020,LOC-102,2026-03-16,180421.27,Entry for CAT-05
ENT/2026/4021,REC-1021,LOC-103,2026-03-27,96229.44,Entry for CAT-05
ENT/2026/4022,REC-1022,LOC-103,2026-03-01,114144.51,Entry for CAT-01
ENT/2026/4023,REC-1023,LOC-103,2026-03-22,115951.94,Entry for CAT-02
ENT/2026/4024,REC-1024,LOC-202,2026-03-25,17088.03,Entry for CAT-06
ENT/2026/4025,REC-1025,LOC-202,2026-04-03,127529.68,Entry for CAT-02
ENT/2026/4026,REC-1026,LOC-103,2026-03-23,12958.85,Entry for CAT-07
ENT/2026/4027,REC-1027,LOC-102,2026-03-14,61921.12,Entry for CAT-06
ENT/2026/4028,REC-1028,LOC-103,2026-03-25,177163.23,Entry for CAT-08
ENT/2026/4029,REC-1029,LOC-103,2026-03-31,165452.83,Entry for CAT-04
ENT/2026/4030,REC-1030,LOC-101,2026-03-19,9084.20,Entry for CAT-08
ENT/2026/4031,REC-1031,LOC-202,2026-03-13,134509.86,Entry for CAT-07
ENT/2026/4032,REC-1032,LOC-101,2026-03-19,105239.94,Entry for CAT-03
ENT/2026/4033,REC-1033,LOC-101,2026-03-04,167851.61,Entry for CAT-01
ENT/2026/4034,rec1034,LOC-101,2026-03-22,84939.99,Entry for CAT-01
ENT/2026/4035,REC-1035,LOC-202,2026-04-10,34692.38,Entry for CAT-07
ENT/2026/4036,REC-1036,LOC-202,2026-03-25,100113.23,Entry for CAT-07
ENT/2026/4037,REC-1037,LOC-102,2026-04-07,82485.81,Entry for CAT-03
ENT/2026/4038,REC-1038,LOC-103,2026-03-16,82134.49,Entry for CAT-08
ENT/2026/4039,REC-1039,LOC-201,2026-04-03,109212.74,Entry for CAT-03
ENT/2026/4040,REC-1040,LOC-201,2026-03-14,43992.69,Entry for CAT-03
ENT/2026/4041,REC-1041,LOC-102,2026-04-08,184503.73,Entry for CAT-04
ENT/2026/4042,REC-1042,LOC-101,2026-03-04,112837.06,Entry for CAT-02
ENT/2026/4043,REC-1043,LOC-102,2026-03-13,81119.18,Entry for CAT-01
ENT/2026/4044,REC-1044,LOC-102,2026-03-09,130896.32,Entry for CAT-06
ENT/2026/4045,REC-1045,LOC-102,2026-03-18,30080.81,Entry for CAT-02
ENT/2026/4046,REC-1046,LOC-102,2026-03-21,88033.65,Entry for CAT-01
ENT/2026/4047,REC-1047,LOC-201,2026-03-13,154995.84,Entry for CAT-06
ENT/2026/4048,REC-1048,LOC-103,2026-03-03,21235.98,Entry for CAT-04
ENT/2026/4049,REC-1049,LOC-201,2026-04-03,129752.04,Entry for CAT-05
ENT/2026/4050,REC-1050,LOC-202,2026-03-20,,Entry for CAT-03
ENT/2026/4051,REC-1051,LOC-202,2026-03-12,15429.94,Entry for CAT-04
ENT/2026/4052,REC-1052,LOC-102,2026-03-23,183955.84,Entry for CAT-01
ENT/2026/4053,REC-1053,LOC-102,2026-03-17,141866.70,Entry for CAT-03
ENT/2026/4054,REC-1054,LOC-101,2026-03-04,134160.41,Entry for CAT-04
ENT/2026/4055,REC-1055,LOC-103,2026-03-14,71950.93,Entry for CAT-08
ENT/2026/4056,REC-1056,LOC-102,2026-03-11,147295.56,Entry for CAT-03
ENT/2026/4057,REC-1057,LOC-201,2026-03-21,177866.39,Entry for CAT-08
ENT/2026/4058,REC-1058,LOC-101,2026-03-02,39731.94,Entry for CAT-06
ENT/2026/4059,REC-1059,LOC-102,2026-03-03,140002.62,Entry for CAT-06
ENT/2026/4060,REC-1060,LOC-202,2026-03-01,44419.07,Entry for CAT-02
ENT/2026/4062,REC-1062,LOC-202,2026-03-22,63243.29,Entry for CAT-08
ENT/2026/4063,REC-1063,LOC-102,2026-04-06,47214.17,Entry for CAT-03
ENT/2026/4064,REC-1064,LOC-101,2026-04-03,"1,25,400.00",Entry for CAT-04
ENT/2026/4065,REC-1065,LOC-201,2026-03-28,179657.43,Entry for CAT-05
ENT/2026/4066,REC-1066,LOC-101,2026-03-06,95173.77,Entry for CAT-02
ENT/2026/4067,REC-1067,LOC-103,2026-03-25,158854.17,Entry for CAT-02
ENT/2026/4068,REC-1068,LOC-101,2026-03-01,45387.00,Entry for CAT-05
ENT/2026/4069,REC-1069,LOC-202,2026-03-13,109220.51,Entry for CAT-06
ENT/2026/4070, REC - 1070 ,LOC-202,2026-03-18,1608.95,Entry for CAT-05
ENT/2026/4071,REC-1071,LOC-102,2026-03-05,66826.64,Entry for CAT-02
ENT/2026/4072,REC-1072,LOC-103,2026-03-29,71617.64,Entry for CAT-03
ENT/2026/4073,REC-1073,LOC-202,2026-03-13,146052.17,Entry for CAT-05
ENT/2026/4074,REC-1074,LOC-103,2026-03-07,161483.83,Entry for CAT-01
ENT/2026/4075,REC-1075,LOC-201,2026-03-07,99760.70,Entry for CAT-01
ENT/2026/4076,REC-1076,LOC-103,2026-04-08,115630.03,Entry for CAT-05
ENT/2026/4077,REC-1077,LOC-201,2026-03-19,83361.40,Entry for CAT-04
ENT/2026/4078,REC-1078,LOC-103,2026-03-25,96339.80,Entry for CAT-08
ENT/2026/4079,REC-1079,LOC-103,2026-03-08,89723.72,Entry for CAT-05
ENT/2026/4080,REC-1080,LOC-103,2026-03-13,88023.69,Entry for CAT-02
